유형,채권분류코드,표준코드,종목명,채권이자분류코드,상장일,발행일,상환일
F9,02,KR20060218A3,부산광역시채권2018-10                   1320181026201810252028102,5,,,N
F9,02,KR2006021910,부산광역시채권2019-2                    1320190129201901282029012,8,,,N
F9,02,KR2006021985,부산광역시채권2019-11                   1320190828201908272027082,7,,,N
F9,02,KR2006021A58,부산광역시채권2020-9                    1320200529202005282027052,8,,,N
F9,02,KR2006021B73,부산광역시채권2021-4                    1320210715202107142028071,4,,,N
F9,02,KR2006021G45,부산광역시채권2026-4                    1320260406202604032029040,3,,,N
F9,02,KR2006021G52,부산광역시채권2026-5                    1320260528202605272031052,7,,,N
F9,02,KR2006031A56,부산광역시채권2020-10                   1320200529202005282030052,8,,,N
F9,02,KR2006041G33,부산광역시채권2026-3                    1320260327202603262029032,6,,,N
F9,02,KR2006121G28,부산광역시채권2026-2                    1320260303202602272029022,7,,,N
F9,02,KR2006161G11,부산광역시채권2026-1                    1320260116202601152029011,5,,,N
F9,02,KR2007011C31,대구광역시채권2022-1                    1320220318202203172027031,7,,,N
F9,02,KR2007011F20,대구광역시채권2025-1                    1320250224202502212028022,1,,,N
F9,02,KR2007011G11,대구광역시채권2026-1                    1320260122202601212029011,9,,,N
F9,02,KR2007011G29,대구광역시채권2026-2                    1320260224202602232029022,3,,,N
F9,02,KR2007041A29,대구광역시채권2020-4                    1320200228202002262027022,6,,,N
F9,02,KR2044011F23,경기도2025-1                            1320250221202502202028022,0,,,N
F9,02,KR2044011F31,경기도2025-2                            1320250324202503212030032,1,,,N
F9,02,KR2044011G22,경기도2026-1                            1320260206202602052029020,5,,,N
F9,02,KR2044011G55,경기도2026-2                            1320260522202605212031052,1,,,N
F9,02,KR2103011FC7,전주시채권2025-1                        1320251208202512052028120,5,,,N
F9,02,KR310101AG30,통안DC026-0602-0910                     1120260304202603032026060,2,,,N
F9,02,KR310101AG48,통안DC026-0707-0910                     1120260407202604072026070,7,,,N
F9,02,KR310101AG55,통안DC026-0803-0910                     1120260506202605042026080,3,,,N
F9,02,KR310101GE77,통안03200-2607-02                       1320240704202407022026070,2,,,N
F9,02,KR310101GEA8,통안02800-2610-02                       1320241004202410022026100,2,,,N
F9,02,KR310101GF19,통안02700-2701-02                       1320250103202501022027010,2,,,N
F9,02,KR310101GF43,통안02620-2704-02                       1320250403202504022027040,2,,,N
F9,02,KR310101GF76,통안02400-2707-02                       1320250703202507022027070,2,,,N
F9,02,KR310101GF92,통안02270-2609-01                       1320250911202509092026090,9,,,N
F9,02,KR310101GFA5,통안02500-2710-02                       1320251015202510022027100,2,,,N
F9,02,KR310101GFB3,통안02540-2611-01                       1320251113202511092026110,9,,,N
F9,02,KR310101GG18,통안02840-2801-02                       1320260108202601022028010,2,,,N
F9,02,KR310101GG34,통안02700-2703-01                       1320260312202603092027030,9,,,N
F9,02,KR310101GG42,통안03420-2804-02                       1320260402202604022028040,2,,,N
F9,02,KR310101GG59,통안02900-2705-01                       1320260514202605092027050,9,,,N
F9,02,KR310102AG39,통안DC026-0609-0910                     1120260310202603102026060,9,,,N
F9,02,KR310102AG47,통안DC026-0714-0910                     1120260414202604142026071,4,,,N
F9,02,KR310102AG54,통안DC026-0811-0910                     1120260512202605122026081,1,,,N
F9,02,KR310102GD93,통안04000-2609-03                       1320230921202309032026090,3,,,N
F9,02,KR310102GE35,통안03430-2703-03                       1320240321202403032027030,3,,,N
F9,02,KR310102GE92,통안02940-2709-03                       1320240920202409032027090,3,,,N
F9,02,KR310102GF34,통안02690-2803-03                       1320250320202503032028030,3,,,N
F9,02,KR310102GF75,통안02280-2607-01                       1320250710202507092026070,9,,,N
F9,02,KR310102GF91,통안02460-2809-03                       1320250918202509032028090,3,,,N
F9,02,KR310102GG17,통안02550-2701-01                       1320260115202601092027010,9,,,N
F9,02,KR310102GG33,통안03340-2903-03                       1320260319202603032029030,3,,,N
F9,02,KR310103AG38,통안DC026-0616-0910                     1120260317202603172026061,6,,,N
F9,02,KR310103AG46,통안DC026-0721-0910                     1120260421202604212026072,1,,,N
F9,02,KR310103AG53,통안DC026-0818-0910                     1120260519202605192026081,8,,,N
F9,02,KR310104AG37,통안DC026-0623-0910                     1120260324202603242026062,3,,,N
F9,02,KR310104AG45,통안DC026-0728-0910                     1120260428202604282026072,8,,,N
F9,02,KR310104AG52,통안DC026-0826-0910                     1120260527202605272026082,6,,,N
F9,02,KR310105AG36,통안DC026-0630-0910                     1120260331202603312026063,0,,,N
F9,02,KR310201AF63,산금25신할01000604-1(사)                1120250702202506042026060,4,,,N
F9,02,KR310201AF71,산금25신할0100-0704-1                   1120250805202507042026070,4,,,N
F9,02,KR310201AFA6,산금25신할0100-1022-1                   1120251104202510222026102,2,,,N
F9,02,KR310201AFB4,산금25신할0100-1104-2                   1120251202202511042026110,4,,,N
F9,02,KR310201AFC2,산금25신할0006-1215-1                   1120260105202512152026061,5,,,N
F9,02,KR310201AG13,산금26신할0100-0113-1                   1120260203202601132027011,3,,,N
F9,02,KR310201AG21,산금26신할0100-0203-1                   1120260304202602032027020,3,,,N
F9,02,KR310201AG39,산금26신할0010-0317-1                   1120260402202603172027011,7,,,N
F9,02,KR310201AG47,산금26신할0011-0409-1                   1120260507202604092027030,9,,,N
F9,02,KR310201D896,산금18신복3000-0913-1INT                1220181002201809132048091,3,,,N
F9,02,KR310201D8A2,산금18신복3000-1011-1INT                1220181102201810112048101,1,,,N
F9,02,KR310201D8C8,산금18신복2500-1217-1INT                1220190103201812172043121,7,,,N
F9,02,KR310201D938,산금19신복3000-0319-1INT                1220190402201903192049031,9,,,N
F9,02,KR310201D953,산금19신복3000-0520-1INT                1220190605201905202049052,0,,,N
F9,02,KR310201D979,산금19신복3000-0731-1INT                1220190806201907312049073,1,,,N
F9,02,KR310201D987,산금19신복3000-0801-1INT                1220190911201908012049080,1,,,N
F9,02,KR310201D995,산금19신복3000-0924-1INT                1220191002201909242049092,4,,,N
F9,02,KR310201D9A0,산금19신복2000-1024-1INT                1220191107201910242039102,4,,,N
F9,02,KR310201D9C6,산금19신복1500-1220-1(IN                1220200102201912202034122,0,,,N
F9,02,KR310201DA99,산금20신복2000-0915-1(IN                1220201006202009152040091,5,,,N
F9,02,KR310201DAA1,산금20신복3000-1019-1(IN                1220201103202010192050101,9,,,N
F9,02,KR310201DAB9,산금20신복2000-1112-1(IN                1220201202202011122040111,2,,,N
F9,02,KR310201DB31,산금21신복1500-0318-1C                  1220210402202103182036031,8,,,N
F9,02,KR310201DB72,산금21신복3000-0702-1C                  1220210803202107022051070,2,,,N
F9,02,KR310201DB80,산금21신복3000-0830-1C                  1220210902202108302051083,0,,,N
F9,02,KR310201DBA9,산금21신복300010071C(녹)                1220211102202110072051100,7,,,N
F9,02,KR310201DBB7,산금21신복2000-1129-1C                  1220211202202111292041112,9,,,N
F9,02,KR310201DC14,산금22신복3000-0117-1C                  1220220204202201172052011,7,,,N
F9,02,KR310201DC22,산금22신복2000-0216-1C                  1220220303202202162042021,6,,,N
F9,02,KR310201DC63,산금22신복3000-0610-1C                  1220220704202206102052061,0,,,N
F9,02,KR310201GCB8,산금22신이0500-1101-2                   1320221202202211012027110,1,,,N
F9,02,KR310201GD10,산금23신이0500-0103-1                   1320230202202301032028010,3,,,N
F9,02,KR310201GD28,산금23신이0500-0209-1                   1320230303202302092028020,9,,,N
F9,02,KR310201GD69,산금23신이0500-0608-1                   1320230704202306082028060,8,,,N
F9,02,KR310201GE68,산금24신이0200-0611-1                   1320240702202406112026061,1,,,N
F9,02,KR310201GEB4,산금24신이0206-1101-1                   1320241203202411012027050,1,,,N
F9,02,KR310201GEC2,산금24신이0200-1202-2                   1320250103202412022026120,2,,,N
F9,02,KR310201GF34,산금25신이0106-0306-1                   1320250402202503062026090,6,,,N
F9,02,KR310201GF59,산금25신이0200-0508-2                   1320250604202505082027050,8,,,N
F9,02,KR310201GF67,산금25신이0206-0604-2                   1320250702202506042027120,4,,,N
F9,02,KR310201GF83,산금25신이0200-0804-2                   1320250902202508042027080,4,,,N
F9,02,KR310201GF91,산금25신이0200-0901-1                   1320251013202509012027090,1,,,N
F9,02,KR310201GFB1,산금25변이0100-1104-1M                  2120251202202511042026110,4,,,N
F9,02,KR310201GFC9,산금25변이0100-1201-1M                  2120260105202512012026120,1,,,N
F9,02,KR310201GG17,산금26신이0200-0108-1                   1320260203202601082028010,8,,,N
